date, pm25, pm10, o3, no2, so2, co
2019/4/18, 52, 27, 42, 27, 8, 3
2019/4/19, 64, 16, 38, 12, 4, 3
2019/4/20, 45, 27, 51, 15, 3, 3
2019/4/21, 60, 34, 53, 21, 3, 3
2019/4/22, 75, 21, 43, 18, 4, 8
2019/4/23, 52, 33, 24, 22, 5, 4
2019/4/24, 61, 31, 20, 34, 9, 4
2019/4/25, 50, 14, 28, 19, 2, 3
2019/4/26, 31, 6, 31, 11, 1, 2
2019/4/27, 14, 7, 41, 6, 3, 3
2019/4/28, 19, 10, 35, 14, 5, 3
2019/4/29, 27, 10, 36, 9, 2, 2
2019/4/30, 18, 8, 39, 10, 2, 2
2019/5/1, 19, 16, 39, 20, 4, 3
2019/5/2, 34, 19, 44, 21, 7, 4
2019/5/3, 52, 21, 47, 10, 2, 2
2019/5/4, 51, 17, 48, 17, 6, 4
2019/5/5, 48, 16, 42, 13, 5, 3
2019/5/6, 39, 7, 42, 11, 2, 2
2019/5/7, 20, 12, 44, 15, 3, 3
2019/5/8, 38, 11, 40, 12, 3, 2
2019/5/9, 35, 23, 66, 30, 6, 4
2019/5/10, 66, 30, 60, 30, 9, 3
2019/5/11, 76, 18, 42, 7, 3, 2
2019/5/12, 46, 14, 35, 15, 4, 2
2019/5/13, 40, 16, 32, 22, 5, 3
2019/5/14, 40, 15, 36, 18, 4, 3
2019/5/15, 41, 14, 39, 18, 2, 2
2019/5/16, 37, 14, 39, 17, 1, 2
2019/5/17, 37, 16, 42, 14, 3, 2
2019/5/18, 44, 18, 43, 8, 3, 2
2019/5/19, 48, 22, 33, 15, 4, 2
2019/5/20, 54, 20, 27, 15, 1, 2
2019/5/21, 26, 15, 38, 14, 2, 2
2019/5/22, 37, 19, 54, 22, 6, 3
2019/5/23, 53, 27, 57, 35, 9, 4
2019/5/24, 68, 33, 72, 26, 9, 5
2019/5/25, 82, 41, 99, 24, 10, 6
2019/5/26, 99, 55, 63, 41, 13, 8
2019/5/27, 126, 19, 41, 11, 4, 7
2019/5/28, 51, 13, 37, 15, 2, 4
2019/5/29, 30, 12, 36, 17, 5, 3
2019/5/30, 35, 14, 31, 18, 8, 4
2019/5/31, 36, 21, 47, 17, 7, 5
2019/6/1, 55, 30, 53, 17, 8, 5
2019/6/2, 75, 14, 41, 16, 4, 3
2019/6/3, 36, 17, 35, 19, 4, 4
2019/6/4, 41, 16, 24, 24, 7, 5
2019/6/5, 41, 27, 65, 24, 5, 4
2019/6/6, 62, 36, 37, 26, 3, 4
2019/6/7, 82, 14, 36, 13, 1, 3
2019/6/8, 36, 13, 33, 5, , 2
2019/6/9, 27, 6, 23, 12, , 3
2019/6/10, 12, 9, 27, 12, 1, 2
2019/6/11, 17, 13, 28, 16, 3, 3
2019/6/12, 30, 16, 34, 22, 7, 4
2019/6/13, 41, 15, 26, 22, 8, 5
2019/6/14, 37, 9, 26, 13, 3, 3
2019/6/15, 21, 10, 41, 8, 2, 3
2019/6/16, 24, 4, 38, 12, 6, 3
2019/6/17, 10, , 35, 21, 6, 4
